id,title,original_language,popularity,release_date,vote_average,vote_count
1067,Army of Thieves,en,61.657,10/27/2021,6.9,1822
1068,Nanny McPhee,en,41.381,10/21/2005,6.7,2866
1069,Despicable Me 4,en,58.292,7/3/2024,0,0
1070,Saw III,en,49.22,10/26/2006,6.4,4223
1071,LEGO Disney Princess: The Castle Quest,en,52.832,8/18/2023,6.8,26
1072,Me Vuelves Loca,es,64.073,9/7/2023,8.4,109
1073,The Chronicles of Narnia: Prince Caspian,en,56.058,5/15/2008,6.6,6036
1074,Accident Man: Hitman's Holiday,en,45.695,10/14/2022,6.5,127
1075,"Lyle, Lyle, Crocodile",en,59.642,10/7/2022,7.2,496
1076,Blood & Gold,de,46.275,4/21/2023,6.7,314
1077,Hidden Figures,en,73.245,12/10/2016,8.1,9110
1078,Midsommar,en,52.439,7/3/2019,7.2,6443
1079,Wish Dragon,en,51.339,1/15/2021,7.9,1207
1080,The Jack in the Box: Awakening,en,60.146,2/24/2022,6.4,303
1081,Rambo III,en,73.062,5/24/1988,6.2,2946
1082,Predators,en,46.812,7/3/2010,6.2,3822
1083,The Ballad of Buster Scruggs,en,53.417,11/9/2018,7.1,3765
1084,Daddy's Home 2,en,44.264,11/9/2017,6.3,2402
1085,Emmanuelle 4,fr,58.276,2/15/1984,4.7,49
1086,The Upside,en,52.006,1/10/2019,7.1,1182
1087,Tom & Jerry,en,66.51,2/10/2021,6.8,2335
1088,The Swan Princess: A Fairytale Is Born,en,47.341,5/15/2023,6.8,31
1089,The Princess,en,55.56,6/16/2022,6.9,725
1090,Rush Hour 3,en,50.274,8/8/2007,6.4,2988
1091,Cinderella II: Dreams Come True,en,49.021,2/23/2002,6.1,1357
1092,Zombieland,en,45.113,10/7/2009,7.3,11656
1093,Snake Eyes: G.I. Joe Origins,en,46.276,7/22/2021,6.5,1431
1094,No Country for Old Men,en,39.108,6/13/2007,7.9,11202
1095,Now You See Me 2,en,51.955,6/2/2016,6.8,10304
1096,Creed,en,53.547,11/25/2015,7.4,7070
1097,Pain Hustlers,en,59.469,10/20/2023,6.7,373
1098,The Strange Case of a Claustrophobic Ghost,es,42.838,7/21/2023,7.3,40
1099,Deinfluencer,en,47.521,12/6/2022,5.8,40
1100,Pan's Labyrinth,es,47.271,10/10/2006,7.8,10010
1101,Mulan,en,55.084,9/4/2020,6.9,6376
1102,The Roundup,ko,45.745,5/18/2022,7.2,198
1103,Redcon-1,en,60.422,9/7/2018,5.7,291
1104,Holidays at all costs,fr,79.384,5/1/2020,6.2,10
1105,Ponyo,ja,53.644,7/19/2008,7.7,3917
1106,Léon: The Professional,en,55.691,9/14/1994,8.3,13955
1107,Predator 2,en,55.081,11/21/1990,6.3,2998
1108,Fullmetal Alchemist: The Final Alchemy,ja,47.961,6/24/2022,6.3,178
1109,Halloween Ends,en,54.167,10/12/2022,6.2,1530
1110,Superman,en,48.617,12/14/1978,7.1,3548
1111,Rango,en,49.968,3/2/2011,6.8,6099
1112,Die Hart,en,71.715,2/22/2023,6,360
1113,Furiosa: A Mad Max Saga,en,72.347,5/22/2024,0,0
1114,Once Upon a Time in America,en,47.498,5/23/1984,8.4,5012
1115,Guardians of the Galaxy,en,46.44,7/30/2014,7.9,26996
1116,Naruto Shippuden the Movie,ja,53.894,8/4/2007,7.4,804
1117,Aged,en,46.371,6/15/2023,5.2,3
1118,Life Is Beautiful,it,52.184,12/20/1997,8.5,12475
1119,Epic Tails,fr,59.917,1/25/2023,6.7,56
1120,Matilda,en,47.779,8/2/1996,7.2,4123
1121,Forgotten Love,pl,69.315,9/27/2023,8.1,187
1122,Brother Bear,en,54.375,10/23/2003,7.3,5073
1123,Saint Seiya: Legend of Crimson Youth,ja,49.414,7/23/1988,7.6,178
1124,Shazam!,en,60.922,3/29/2019,7,9004
1125,xXx: State of the Union,en,36.308,4/27/2005,5,1728
1126,Twelve Monkeys,en,47.206,12/29/1995,7.6,7841
1127,A Christmas Carol,en,50.252,11/4/2009,6.9,4338
1128,The Tutor,en,46.503,3/24/2023,6.4,68
1129,Tinker Bell and the Legend of the NeverBeast,en,62.649,12/12/2014,7.3,977
1130,Memento,en,41.694,10/11/2000,8.2,14013
1131,Una aventura gigante,es,49.806,1/12/2023,7.2,4
1132,The Incredible Hulk,en,49.573,6/12/2008,6.2,11202
1133,One Day,en,55.791,3/2/2011,7.4,3977
1134,Final Destination,en,46.068,3/17/2000,6.6,5231
1135,Captain America: The First Avenger,en,50.232,7/22/2011,7,20545
1136,The Shining,en,60.865,5/23/1980,8.2,16531
1137,The Contractor,en,48.792,3/10/2022,6.4,799
1138,Along with the Gods: The Two Worlds,ko,70.119,12/20/2017,8.1,912
1139,Her,en,56.21,12/18/2013,7.9,13619
1140,Black Hawk Down,en,49.196,12/28/2001,7.4,5344
1141,Appassionata,it,42.353,5/22/1974,5.8,42
1142,Saint Seiya: Warriors of the Final Holy Battle,ja,42.842,3/18/1989,7.3,196
1143,S.W.A.T.,en,58.532,8/8/2003,6.1,2348
1144,The SpongeBob SquarePants Movie,en,51.28,11/14/2004,7,2679
1145,Hyungsu: Forbidden Love,ko,55.368,3/11/2020,6,1
1146,Kraven the Hunter,en,77.661,8/28/2024,0,0
1147,Lucy,en,47.919,7/25/2014,6.4,15372
1148,Street Savages,en,77.592,4/8/2020,5.5,1
1149,Pinocchio,en,53.051,9/7/2022,6.4,1473
1150,The Purge,en,53.164,5/31/2013,6.3,8013
1151,Texas Chainsaw 3D,en,52.759,1/3/2013,5.5,1570
1152,Pleasure,sv,75.025,10/8/2021,6.3,439
1153,The Last Samurai,en,36.451,12/5/2003,7.6,6425
1154,Drive,en,69.75,9/15/2011,7.6,11933
1155,Under Your Bed,ko,39.549,12/13/2023,5,1
1156,Lost Bullet 2,fr,39.813,11/10/2022,6.5,331
1157,Rush Hour 2,en,49.466,8/3/2001,6.7,3770
1158,To All the Boys I've Loved Before,en,48.072,8/16/2018,7.6,8122
1159,A Whisker Away,ja,38.974,6/18/2020,7.9,1285
1160,Dragon Ball Z: Broly – The Legendary Super Saiyan,ja,51.459,3/6/1993,7.2,826
1161,Love & Passion,it,51.936,2/25/1987,5.4,41
1162,RRR,te,46.122,3/24/2022,7.8,1136
1163,13 Exorcisms,es,49.284,11/4/2022,6,146
1164,Along with the Gods: The Last 49 Days,ko,47.143,8/1/2018,8.2,547
1165,Asteroid City,en,46.724,6/8/2023,6.5,1312
1166,Little Man,en,47.035,8/31/2006,5.9,1594
1167,Carter,ko,48.412,8/5/2022,6,329
1168,Foe,en,76.695,10/6/2023,5.7,75
1169,Stand by Me Doraemon,ja,51.869,8/8/2014,7.3,485
1170,The Great Wall,en,58.67,12/16/2016,6,4835
1171,Lord of War,en,47.864,9/16/2005,7.3,4415
1172,Good Grief,en,76.618,12/29/2023,6.7,28
1173,Castle in the Sky,ja,51.407,8/2/1986,8,3858
1174,Terminator 3: Rise of the Machines,en,37.554,7/2/2003,6.2,6218
1175,Norbit,en,51.152,2/8/2007,5.6,2161
1176,Shark Side of the Moon,en,50.236,8/12/2022,5.2,142
1177,Fantastic Beasts: The Crimes of Grindelwald,en,45.853,11/14/2018,6.9,10367
1178,Alien Resurrection,en,36.844,11/12/1997,6.1,4487
1179,The Curse of La Llorona,en,53.15,4/17/2019,5.7,2270
1180,Nightcrawler,en,65.091,10/23/2014,7.7,10197
1181,The Kissing Booth,en,45.392,5/11/2018,7.2,6985
1182,Wrong Turn 4: Bloody Beginnings,en,47.383,10/17/2011,5.7,1006
1183,Home Alone 3,en,49.422,12/12/1997,5.3,2853
1184,Underworld: Blood Wars,en,50.817,11/24/2016,5.8,3465
1185,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,en,44.011,1/12/1996,7,1181
1186,Ferrari,en,54.372,12/14/2023,6.9,160
1187,Polite Society,en,76.112,4/27/2023,6.4,116
1188,From Straight A's to XXX,en,52.16,2/11/2017,5.9,129
1189,District 9,en,46.6,8/5/2009,7.4,8905
1190,Deep Sea Mutant Snake,zh,46.006,8/27/2022,7.2,19
1191,The Unbearable Weight of Massive Talent,en,52.376,4/20/2022,6.8,1663
1192,The Addams Family,en,47.595,11/22/1991,7,4230
1193,He's All That,en,43.811,8/27/2021,6.6,1273
1194,Zombieland: Double Tap,en,48.751,10/9/2019,6.9,5318
1195,Sword Art Online the Movie – Progressive – Scherzo of Deep Night,ja,56.133,10/22/2022,7.6,141
1196,Dad or Mom,es,55.696,11/30/2023,5.1,4
1197,Hidden,en,44.338,9/15/2015,6.9,908
1198,13 Hours: The Secret Soldiers of Benghazi,en,45.332,1/14/2016,7.3,3301
1199,Nightmare Alley,en,44.951,12/2/2021,7,2632
1200,Nightmare Alley,en,44.951,12/2/2021,7,2633
1201,The Exorcist,es,49.419,11/2/2022,6.2,100
1202,Cast Away,en,48.014,12/22/2000,7.7,10742
1203,Ánima,es,47.852,9/1/2023,8.7,3
1204,E.T. the Extra-Terrestrial,en,42.158,6/11/1982,7.5,10634
1205,Island of the Dolls,en,45.74,1/13/2023,5.5,36
1206,The Longest Ride,en,47.459,4/9/2015,7.6,2990
1207,Planet of the Apes,en,64.552,7/25/2001,5.7,3755
1208,The Mechanic,en,47.804,1/13/2011,6.5,3016
1209,Seoul Vibe,ko,46.885,8/26/2022,6.6,147
1210,The Help,en,54.443,8/9/2011,8.2,7695
1211,Braveheart,en,45.835,5/24/1995,7.9,9528
1212,Ant-Man,en,48.085,7/14/2015,7.1,18968
1213,The Revenant,en,50.082,12/25/2015,7.5,17346
1214,Tomb Raider,en,50.884,3/5/2018,6.4,7411
1215,Gridman Universe,ja,52.742,3/24/2023,8.5,15
1216,A Dog's Journey,en,44.684,5/3/2019,8,1392
1217,Harold & Kumar Go to White Castle,en,46.723,5/30/2004,6.5,1918
1218,The Thing,en,59.268,6/25/1982,8.1,6418
1219,Men in Black: International,en,48.273,6/12/2019,5.9,4566
1220,The Karate Kid,en,40.259,6/22/1984,7.2,3886
1221,The Interview,en,68.193,12/25/2014,6.2,5453
1222,Big George Foreman,en,57.476,4/27/2023,7.7,177
1223,Sausage Party,en,50.707,7/11/2016,5.7,6903
1224,Armageddon,en,50.696,7/1/1998,6.8,7468
1225,Full Metal Jacket,en,40.729,6/26/1987,8.1,9872
1226,Malicious,it,33.264,3/29/1973,7.2,255
1227,Olympus Has Fallen,en,42.665,3/20/2013,6.4,6288
1228,Secret of the Wings,en,48.25,8/17/2012,7.2,1137
1229,Attack on Titan,en,44.535,9/30/2022,6,167
1230,Mission: Impossible,en,47.64,5/22/1996,7,8308
1231,Murder on the Orient Express,en,40.944,11/3/2017,6.7,9418
1232,Resistance,en,42.697,3/27/2020,7,394
1233,The Iron Claw,en,55.264,12/21/2023,7.9,31
1234,American Pie Presents: The Book of Love,en,45.675,12/7/2009,5.3,1647
1235,Rio 2,en,55.376,3/19/2014,6.5,3284
1236,Ghost Rider: Spirit of Vengeance,en,39.921,12/10/2011,5,3593
1237,Tombstone,en,42.165,12/25/1993,7.6,1932
1238,Sicario,en,54.87,9/17/2015,7.4,8005
1239,The Bricklayer,en,74.315,12/14/2023,6.7,22
1240,The Color Purple,en,69.423,12/25/2023,7.8,25
1241,That's My Boy,en,66.911,6/14/2012,5.8,1791
1242,On the Line,en,53.997,10/31/2022,6.2,410
1243,Peninsula,ko,54.166,7/15/2020,6.8,2228
1244,The Fabelmans,en,36.046,11/11/2022,7.7,1946
1245,The Martian,en,58.004,9/30/2015,7.7,18800
1246,Valerian and the City of a Thousand Planets,en,42.093,7/20/2017,6.6,7130
1247,Gol Gana,es,47.223,4/12/2019,2,1
1248,Watchmen,en,43.034,3/4/2009,7.3,8648
1249,The Purge: Election Year,en,56.637,6/29/2016,6.4,5010
1250,Bram Stoker's Dracula,en,43.581,11/13/1992,7.4,4748
1251,Lullaby,en,44.665,12/16/2022,5.3,48
1252,The Running Man,en,47.172,11/13/1987,6.5,2154
1253,The Retirement Plan,en,67.713,8/24/2023,6.5,119
1254,The Enforcer,en,44.706,9/22/2022,7.1,358
1255,Wrong Turn,en,50.367,5/30/2003,6.3,2485
1256,About Time,en,52.72,9/4/2013,7.9,7942
1257,The Predator,en,49.522,9/5/2018,5.6,4355
1258,The Gentlemen,en,51.872,1/1/2020,7.7,5251
1259,Two Sinners and a Mule,en,45.354,4/21/2023,6.5,29
1260,Two Sinners and a Mule,en,45.354,4/21/2023,6.5,29
1261,A Tribe Called Judah,en,44.002,12/15/2023,9,2
1262,Maid in Sweden,en,51.695,11/3/1971,4.5,28
1263,Percy Jackson: Sea of Monsters,en,50.166,8/7/2013,6,4929
1264,Mortal Kombat Legends: Scorpion's Revenge,en,60.868,4/12/2020,8.1,1320
1265,Blacklight,en,50.882,2/10/2022,6.2,989
1266,Dead Silence,en,42.606,3/16/2007,6.4,2085
1267,The Pale Blue Eye,en,51.903,12/22/2022,6.9,1578
1268,Bridge to Terabithia,en,57.653,2/15/2007,7.3,4457
1269,National Lampoon's Christmas Vacation,en,48.395,11/30/1989,7.2,2184
1270,Beau Is Afraid,en,73.657,4/14/2023,6.8,713
1271,Five Feet Apart,en,46.252,3/14/2019,8.3,5327
1272,Don't Breathe 2,en,51.355,8/12/2021,7.1,2319
1273,The Penitent Thief,en,55.591,2/25/2021,6.1,23
1274,Broken,es,42.016,8/3/2023,5.5,2
1275,Ghost Rider,en,38.48,1/15/2007,5.6,5582
1276,Mount Adams,en,73.455,7/21/2021,6.5,9
1277,A Silent Voice: The Movie,ja,46.024,9/17/2016,8.4,3673
1278,10 Things I Hate About You,en,45.765,3/30/1999,7.6,7550
1279,Batman: The Doom That Came to Gotham,en,45.664,3/10/2023,6.7,162
1280,Chicken Little,en,36.976,11/4/2005,5.9,3701
1281,Naruto Shippuden the Movie: Blood Prison,ja,36.576,7/30/2011,7.3,538
1282,Sinister,en,40.822,3/29/2012,6.9,5147
1283,Emergency Declaration,ko,43.954,8/3/2022,7.6,289
1284,Friday the 13th,en,38.661,5/9/1980,6.4,2706
1285,Scary Movie 4,en,43.263,4/12/2006,5.5,3059
1286,Sleeping Beauty,en,41.707,2/17/1959,6.9,4869
1287,Deep Water,en,43.73,3/18/2022,5.8,1164
1288,The Simpsons Meet the Bocellis in Feliz Navidad,en,48.049,12/15/2022,6,65
1289,He's Just Not That Into You,en,34.493,2/6/2009,6.5,3446
1290,6 Underground,en,47.002,12/13/2019,6.3,4451
1291,Piranha 3D,en,49.935,8/20/2010,5.4,2052
1292,Bosomy Mom,ko,49.754,5/6/2020,4.7,7
1293,Indiana Jones and the Last Crusade,en,51.029,5/24/1989,7.8,9538
1294,Megamind,en,49.982,10/28/2010,7,6438
1295,"Tad, the Lost Explorer and the Emerald Tablet",es,39.316,8/24/2022,7.6,268
1296,Final Destination 5,en,53.981,8/12/2011,6.1,3172
1297,Enchanted,en,33.977,11/20/2007,6.8,5150
1298,The Communion Girl,es,48.83,2/9/2023,6.2,189
1299,Edward Scissorhands,en,44.57,12/7/1990,7.7,12277
1300,Enchanted,en,33.977,11/20/2007,6.8,5150
1301,The Communion Girl,es,48.83,2/9/2023,6.2,189
1302,Edward Scissorhands,en,44.57,12/7/1990,7.7,12277
1303,Mission: Impossible III,en,71.118,4/25/2006,6.7,6345
1304,12 Angry Men,en,44.665,4/10/1957,8.5,7930
1305,Robin Hood,en,43.473,11/21/2018,5.9,2814
1306,Umma,en,53.99,3/18/2022,5.4,256
1307,Ferdinand,en,48.417,12/9/2017,7.2,2699
1308,The Girl Next Door,en,46.652,4/9/2004,6.7,3263
1309,No Exit,en,49.474,2/25/2022,6.9,1019
1310,Sexual Chronicles of a French Family,fr,48.448,5/9/2012,5.2,286
1311,Jupiter Ascending,en,57.603,2/4/2015,5.4,6460
1312,Hard Days,ja,65.632,5/19/2023,7,27
1313,Lady and the Tramp,en,47.69,6/22/1955,7.1,4960
1314,Rush Hour,en,46.939,9/18/1998,7,4500
1315,Undisputed III: Redemption,en,38.884,5/22/2010,7.6,837
1316,Jaws,en,50.58,6/20/1975,7.7,9757
1317,Jagged Mind,en,40.278,6/14/2023,6,32
1318,Dolittle,en,51.935,1/2/2020,6.6,3462
1319,Annabelle,en,43.981,10/2/2014,5.8,5842
1320,Hellboy,en,51.417,4/10/2019,5.6,3179
1321,The Marksman,en,49.915,1/15/2021,6.9,1457
1322,Finding Dory,en,40.923,6/16/2016,7,11560
1323,Day Shift,en,37.376,8/12/2022,6.8,1755
1324,"Crazy, Stupid, Love.",en,51.737,7/29/2011,7.3,7953
1325,The Jungle Book,en,42.633,10/18/1967,7.3,5911
1326,Psycho,en,42.273,6/22/1960,8.4,9501
1327,Dumb and Dumber To,en,46.302,11/12/2014,5.6,2978
1328,Hunter Killer,en,41.62,10/19/2018,6.9,2016
1329,Dragon Ball Z: Fusion Reborn,ja,48.156,3/4/1995,7.5,757
1330,Lilo & Stitch,en,51.604,6/21/2002,7.5,5771
1331,Shark Tale,en,53.35,9/20/2004,6,6015
1332,Kill Bill: Vol. 1,en,50,10/10/2003,8,16469
1333,Strange Hair Salon,ko,47.696,10/22/2015,6.4,8
1334,The Trapped 13: How We Survived The Thai Cave,th,48.135,10/5/2022,6.8,65
1335,Familia,es,71.309,11/27/2023,7.2,5
1336,Little Dixie,en,43.444,2/3/2023,5.8,113
1337,The Fault in Our Stars,en,49.19,5/16/2014,7.6,10753
1338,Porno,pt,45.104,1/1/1981,4.7,59
1339,Jack the Giant Slayer,en,40.783,2/27/2013,5.8,4702
1340,The Curious Case of Benjamin Button,en,40.925,12/25/2008,7.6,12104
1341,Lemony Snicket's A Series of Unfortunate Events,en,43.072,12/16/2004,6.8,4761
1342,Don't Worry Darling,en,45.455,9/21/2022,6.8,2031
1343,50 First Dates,en,41.815,2/13/2004,6.9,6820
1344,Deuce Bigalow: Male Gigolo,en,40.565,12/10/1999,6,1310
1345,Jericho Ridge,en,37.95,7/14/2023,5.9,16
1346,Pokémon the Movie: Mewtwo Strikes Back - Evolution,ja,39.071,7/12/2019,6.7,477
1347,Road to Ninja: Naruto the Movie,ja,40.304,7/28/2012,7.6,926
1348,American Pie Presents: Beta House,en,48.303,1/14/2008,5.7,1772
1349,The Big Short,en,30.379,12/11/2015,7.3,8500
1350,Batman,en,36.044,6/21/1989,7.2,7298
1351,The Adam Project,en,51.018,3/11/2022,7,3936
1352,Triple Frontier,en,47.797,3/6/2019,6.3,2995
1353,The Independent,en,39.49,11/2/2022,6.9,97
1354,Hibang,tl,38.867,12/29/2023,0,0
1355,Taxi Driver,en,52.33,2/9/1976,8.2,11406
1356,Togo,en,59.392,12/20/2019,8.2,1881
1357,Rogue One: A Star Wars Story,en,44.109,12/14/2016,7.5,14555
1358,Three Thousand Years of Longing,en,46.917,8/24/2022,6.9,1061
1359,Monster High: The Movie,en,48.318,10/6/2022,6.9,221
1360,Monster High: The Movie,en,48.318,10/6/2022,6.9,221
1361,Sister's Taste,ko,57.838,12/10/2019,0,0
1362,How to Train Your Dragon: Homecoming,en,50.782,10/25/2019,8.1,874
1363,Tangled Ever After,en,52.573,1/13/2012,7.2,992
1364,Oliva,es,41.876,9/7/2023,7.2,5
1365,17 Again,en,43.269,3/11/2009,6.3,4874
1366,Wild Card,en,38.876,1/14/2015,5.6,1652
1367,The Great Gatsby,en,47.516,5/9/2013,7.4,11689
1368,Run Rabbit Run,en,47.258,1/19/2023,5.4,194
1369,Spiral: From the Book of Saw,en,48.372,5/12/2021,6,1801
1370,Triangle of Sadness,en,44.24,9/18/2022,7.1,1782
1371,Shaolin Soccer,cn,51.698,7/5/2001,7.1,2060
1372,The Punisher,en,40.645,4/15/2004,6.3,2635
1373,Grease,en,44.993,7/7/1978,7.4,6853
1374,Bambi,en,37.24,8/14/1942,7,5332
1375,Blade,en,47.99,8/21/1998,6.8,5575
1376,Life of Pi,en,36.791,11/20/2012,7.4,12562
1377,Teenage Mutant Ninja Turtles,en,45.438,3/30/1990,6.6,1619
1378,All Souls,en,70.314,12/8/2023,7.1,21
1379,The Pursuit of Happyness,en,39.433,12/14/2006,7.9,9332
1380,Tubero,tl,30.098,10/21/2022,5.8,4
1381,Godzilla: Final Wars,ja,45.723,12/4/2004,7,273
1382,Jason Bourne,en,37.976,7/27/2016,6.3,5445
1383,Malena,it,42.221,3/16/2000,7.4,2069
1384,Alien³,en,40.618,5/22/1992,6.4,5189
1385,Journey 2: The Mysterious Island,en,47.721,1/19/2012,6.2,4016
1386,My Hero Academia: World Heroes' Mission,ja,55.787,8/6/2021,7.6,455
1387,Berserk: The Golden Age Arc II - The Battle for Doldrey,ja,46.718,6/23/2012,7.3,369
1388,Mojave Diamonds,en,45.833,8/24/2023,4.8,6
1389,Me he hecho viral,es,46.279,10/11/2023,6.1,35
1390,Girl in the Basement,en,55.222,2/27/2021,7.7,605
1391,Tom and Jerry: Willy Wonka and the Chocolate Factory,en,40.508,6/28/2017,6.6,118
1392,Dampyr,it,58.743,10/28/2022,6.4,109
1393,The Three Musketeers: Milady,fr,42.518,12/13/2023,6.7,164
1394,The Sadness,zh,47.402,1/22/2021,6.8,690
1395,The Voyeur,it,44.932,1/27/1994,5.2,163
1396,Rocky IV,en,47.63,11/21/1985,7.1,4123
1397,The Prince of Egypt,en,35.58,12/16/1998,7.3,3704
1398,Chronicle,en,55.922,2/1/2012,6.8,4977
1399,Going Deep Into the World of 'Aquaman',en,49.507,3/26/2019,5,1
1400,Mr. Monk's Last Case: A Monk Movie,en,51.741,12/8/2023,7.3,57
1401,The Departed,en,41.063,10/4/2006,8.2,14062
1402,American Pie 2,en,43.408,8/10/2001,6.2,4641
1403,Emancipation,en,51.403,12/2/2022,7.9,995
1404,Samson,en,33.664,2/16/2018,5.8,224
1405,Werewolf by Night,en,42.146,9/25/2022,7,1117
1406,Saint Seiya: Evil Goddess Eris,ja,38.954,7/18/1987,7,197
1407,Hansel & Gretel: Witch Hunters,en,56.656,1/17/2013,6,6398
1408,300,en,38.586,3/7/2007,7.2,13051
1409,King Arthur: Legend of the Sword,en,45.353,5/10/2017,6.5,5425
1410,Savage Salvation,en,43.19,12/2/2022,6.5,217
1411,Perfect Addiction,en,44.995,2/16/2023,6.7,204
1412,Tom Clancy's Without Remorse,en,42.355,4/29/2021,7,2292
1413,Skinamarink,en,46.98,1/13/2023,5.6,205
1414,Kiki's Delivery Service,ja,51.126,7/29/1989,7.8,3731
1415,The Roundup: No Way Out,ko,33.259,5/31/2023,7,157
1416,Bumblebee,en,53.078,12/15/2018,6.7,5755
1417,Chernobyl: Abyss,ru,44.633,4/15/2021,6.2,462
1418,The Requin,en,42.333,1/28/2022,4.9,311
1419,Aftersun,en,40.594,10/21/2022,7.7,1013
1420,The Usual Suspects,en,46.095,7/19/1995,8.2,9809
1421,Seventh Son,en,34.085,12/12/2014,5.5,2386
1422,Godzilla,ja,46.834,11/3/1954,7.6,849
1423,Vindicta,en,68.859,10/6/2023,4.3,8
1424,The Parent Trap,en,51.828,7/28/1998,7.2,3877
1425,Nacho Libre,en,42.62,6/16/2006,6.4,1456
1426,Fair Play,en,38.999,9/28/2023,6.5,334
1427,I Am Number Four,en,63.503,2/18/2011,6.2,4443
1428,Little Women,en,48.762,12/25/2019,7.9,5847
1429,American Beauty,en,37.85,9/15/1999,8,11467
1430,Need for Speed,en,44.799,3/12/2014,6.4,4124
1431,300: Rise of an Empire,en,43.588,3/5/2014,6.1,6178
1432,Friends with Benefits,en,38.035,7/21/2011,6.6,7527
1433,The Last: Naruto the Movie,ja,40.035,12/6/2014,7.7,1747
1434,Solo: A Star Wars Story,en,53.678,5/15/2018,6.6,8034
1435,Descendants,en,52.471,7/31/2015,7.1,2191
1436,Alice Through the Looking Glass,en,40.021,5/25/2016,6.6,6115
1437,Sayen,es,39.485,3/3/2023,6.2,97
1438,Malum,en,36.828,3/31/2023,5.9,65
1439,Home Sweet Home Alone,en,57.48,11/12/2021,4.9,570
1440,Tin & Tina,es,43.12,3/24/2023,6,340
1441,Breath of Life,en,68.134,12/15/2023,7.2,3
1442,DogMan,fr,48.605,9/27/2023,7.4,184
1443,First Blood,en,40.24,10/22/1982,7.5,5809
1444,Cloud Atlas,en,46.14,10/26/2012,6.9,6764
1445,Charlie's Angels: Full Throttle,en,34.436,6/27/2003,5.5,2853
1446,I Believe,en,54.044,6/6/2019,7.6,126
1447,American Wedding,en,46.733,8/1/2003,6.2,3854
1448,The Lion King 1½,en,47.732,2/6/2004,6.6,2827
1449,Idiocracy,en,36.472,9/1/2006,6.3,2670
1450,Meet the Robinsons,en,32.172,3/23/2007,6.9,2662
1451,Scrooge: A Christmas Carol,en,58.714,11/18/2022,6.7,389
1452,The Pilgrim's Progress,en,40.326,4/18/2019,7.7,85
1453,Abraham Lincoln: Vampire Hunter,en,46.568,6/20/2012,5.7,3150
1454,Man on Fire,en,37.765,4/23/2004,7.5,4796
1455,"I, Robot",en,33.663,7/15/2004,6.9,11173
1456,Ghostbusters,en,46.111,6/8/1984,7.5,8308
1457,Treasure Planet,en,49.411,11/26/2002,7.5,3905
1458,The Matrix Reloaded,en,39.81,5/15/2003,7,10333
1459,Cinderella,en,38.979,9/3/2021,6.4,1292
1460,Hellraiser,en,42.398,9/28/2022,6.3,688
1461,American Pie Presents: Girls' Rules,en,44.72,10/6/2020,6.2,563
1462,Mortal Kombat,en,42.12,4/7/2021,7.1,5517
1463,Predestination,en,37.806,8/28/2014,7.4,6033
1464,Saint Seiya: The Heated Battle of the Gods,ja,45.752,3/12/1988,7.5,151
1465,Air,en,64.517,4/5/2023,7.4,1563
1466,The Desperate Hour,en,42.019,9/12/2021,6,376
1467,Scary Movie 5,en,39.699,4/11/2013,4.8,2651
1468,Alice in Wonderland,en,59.395,7/28/1951,7.2,5557
1469,Fargo,en,48.383,3/8/1996,7.9,7483
1470,The Quake,no,40.742,8/31/2018,6.8,690
1471,Between Us,fr,66.177,7/12/2023,6.2,70
1472,My First Barbie: Happy DreamDay,en,46.725,2/13/2023,6.4,15
1473,Men in Black 3,en,45.37,5/23/2012,6.5,9821
1474,Campeonex,es,32.34,8/18/2023,6.7,50
1475,The Iron Giant,en,41.406,8/6/1999,7.9,5193
1476,Flushed Away,en,37.403,10/22/2006,6.3,3566
1477,Insidious,en,47.153,3/31/2011,6.9,6442
1478,Cult of Chucky,en,43.405,10/12/2017,5.8,1182
1479,Rocky Balboa,en,42.147,12/20/2006,6.9,3256
1480,The Ten Commandments,en,47.62,10/5/1956,7.8,1441
1481,Play Dead,en,54.366,12/9/2022,6.2,121
1482,Oblivion,en,36.62,4/10/2013,6.6,10177
1483,Mortal Kombat Legends: Battle of the Realms,en,44.433,8/31/2021,7.7,399
1484,The Prestige,en,50.213,10/19/2006,8.2,15014
1485,Sky High,en,38.858,7/29/2005,6.2,2166
1486,The Banshees of Inisherin,en,39.844,10/20/2022,7.5,2293
1487,Three Swedish Girls in Upper Bavaria,de,47.61,10/7/1977,5.5,12
1488,Legally Blonde,en,36.15,7/13/2001,6.8,3692
1489,Son of a Rich,ru,37.66,11/24/2019,6.9,131
1490,Blockers,en,30.597,3/14/2018,6.3,1898
1491,Tomorrowland,en,56.901,5/19/2015,6.3,6677
1492,A Very Harold & Kumar Christmas,en,45.091,11/4/2011,6,886
1493,A Delicious Flight,ko,42.352,11/1/2015,4.2,57
1494,Robots,en,36.785,3/10/2005,6.4,4286
1495,Dumb Money,en,61.902,9/15/2023,6.7,201
1496,Fighting Spirit - Mashiba vs. Kimura,ja,48.273,9/5/2003,6.6,38
1497,Ball Red Daughter-in-law,ko,59.735,10/16/2020,2.7,3
1498,Sniper: Assassin's End,en,44.143,6/15/2020,6.2,184
1499,Central Intelligence,en,36.833,6/16/2016,6.4,5581
1500,Ball Red Daughter-in-law,ko,59.735,10/16/2020,2.7,3
1501,Sniper: Assassin's End,en,44.143,6/15/2020,6.2,184
